scale,case,fan_cm_s,dC_H2O,dC_CO2
leaf,earth,,0.1280,0.1590
leaf,ug_still,0,0.2200,0.3010
leaf,ug_fan,1.7,0.1470,0.1900
leaf,ug_fan,3.3,0.1130,0.1460
leaf,ug_fan,6.6,0.0860,0.1100
leaf,ug_fan,11.6,0.0680,0.0880
leaf,ug_fan,18.3,0.0570,0.0730
leaf,ug_fan,26.6,0.0490,0.0630
leaf,ug_fan,36.5,0.0430,0.0550
rosette,earth,,0.2240,0.2960
rosette,ug_still,0,0.3720,0.5220
rosette,ug_fan,1.7,0.3320,0.4460
rosette,ug_fan,3.3,0.2860,0.3870
rosette,ug_fan,6.6,0.2470,0.3370
rosette,ug_fan,11.6,0.2210,0.3030
rosette,ug_fan,18.3,0.2050,0.2810
rosette,ug_fan,26.6,0.1930,0.2620
rosette,ug_fan,36.5,NaN,NaN
canopy,earth,,0.2390,0.2970
canopy,ug_still,0,0.3120,0.3680
canopy,ug_fan,1.7,0.2970,0.3540
canopy,ug_fan,3.3,0.2730,0.3330
canopy,ug_fan,6.6,0.2550,0.3170
canopy,ug_fan,11.6,0.2540,0.3160
canopy,ug_fan,18.3,0.2430,0.3020
canopy,ug_fan,26.6,NaN,NaN
canopy,ug_fan,36.5,NaN,NaN
# Earth-equivalent fan speed (cm/s): leaf=2.6  rosette=11.0  canopy=NaN
