step,total_mass,centre_conc,corner_conc,expected_total
0,0.0000,0.00000,0.00000,0.0000
500,36.2138,0.05826,0.00000,36.2500
1000,72.4638,0.10650,0.00000,72.5000
1500,108.7138,0.14110,0.00000,108.7500
2000,144.9638,0.16783,0.00000,145.0000
2500,181.2137,0.18958,0.00001,181.2500
3000,217.4637,0.20790,0.00003,217.5000
3500,253.7137,0.22372,0.00008,253.7500
4000,289.9637,0.23763,0.00021,290.0000
4500,326.2137,0.25006,0.00042,326.2500
5000,362.4637,0.26128,0.00076,362.5000
5500,398.7137,0.27151,0.00124,398.7500
6000,434.9637,0.28091,0.00188,435.0000
6500,471.2137,0.28963,0.00269,471.2500
7000,507.4637,0.29774,0.00368,507.5000
7500,543.7137,0.30535,0.00485,543.7500
8000,579.9637,0.31252,0.00619,580.0000
8500,616.2137,0.31930,0.00770,616.2500
9000,652.4637,0.32575,0.00938,652.5000
9500,688.7137,0.33190,0.01122,688.7500
10000,724.9638,0.33780,0.01320,725.0000
10500,761.2138,0.34347,0.01533,761.2500
11000,797.4638,0.34893,0.01758,797.5000
11500,833.7138,0.35422,0.01996,833.7500
12000,869.9638,0.35935,0.02246,870.0000
12500,906.2139,0.36434,0.02506,906.2500
13000,942.4639,0.36920,0.02775,942.5000
13500,978.7139,0.37395,0.03054,978.7500
14000,1014.9639,0.37861,0.03340,1015.0000
14500,1051.2140,0.38317,0.03635,1051.2500
15000,1087.4640,0.38765,0.03936,1087.5000
15500,1123.7140,0.39207,0.04243,1123.7500
16000,1159.9641,0.39642,0.04557,1160.0000
16500,1196.2142,0.40071,0.04875,1196.2500
17000,1232.4641,0.40495,0.05199,1232.5000
17500,1268.7141,0.40915,0.05526,1268.7500
18000,1304.9641,0.41330,0.05858,1305.0000
18500,1341.2143,0.41742,0.06194,1341.2500
19000,1377.4644,0.42150,0.06533,1377.5000
19500,1413.7144,0.42556,0.06875,1413.7500
20000,1449.9643,0.42958,0.07219,1450.0000
20500,1486.2142,0.43358,0.07567,1486.2500
21000,1522.4642,0.43756,0.07916,1522.5000
21500,1558.7142,0.44153,0.08268,1558.7500
22000,1594.9641,0.44547,0.08621,1595.0000
22500,1631.2141,0.44940,0.08977,1631.2500
23000,1667.4641,0.45331,0.09334,1667.5000
23500,1703.7143,0.45721,0.09692,1703.7500
24000,1739.9646,0.46110,0.10052,1740.0000
24500,1776.2150,0.46497,0.10412,1776.2500
25000,1812.4655,0.46884,0.10774,1812.5000
25500,1848.7160,0.47270,0.11138,1848.7500
26000,1884.9665,0.47655,0.11502,1885.0000
26500,1921.2170,0.48040,0.11866,1921.2500
27000,1957.4673,0.48424,0.12232,1957.5000
27500,1993.7177,0.48807,0.12598,1993.7500
28000,2029.9680,0.49190,0.12965,2030.0000
28500,2066.2184,0.49572,0.13333,2066.2500
29000,2102.4687,0.49954,0.13701,2102.5000
29500,2138.7190,0.50335,0.14070,2138.7500
30000,2174.9692,0.50716,0.14439,2175.0000
30500,2211.2193,0.51097,0.14808,2211.2500
31000,2247.4692,0.51477,0.15178,2247.5000
31500,2283.7189,0.51858,0.15549,2283.7500
32000,2319.9685,0.52238,0.15919,2320.0000
32500,2356.2179,0.52617,0.16290,2356.2500
33000,2392.4671,0.52997,0.16662,2392.5000
33500,2428.7161,0.53376,0.17033,2428.7500
34000,2464.9649,0.53756,0.17405,2465.0000
34500,2501.2135,0.54135,0.17777,2501.2500
35000,2537.4620,0.54514,0.18149,2537.5000
35500,2573.7103,0.54892,0.18522,2573.7500
36000,2609.9586,0.55271,0.18895,2610.0000
36500,2646.2068,0.55650,0.19268,2646.2500
37000,2682.4550,0.56028,0.19641,2682.5000
37500,2718.7029,0.56407,0.20014,2718.7500
38000,2754.9507,0.56785,0.20387,2755.0000
38500,2791.1984,0.57164,0.20761,2791.2500
39000,2827.4460,0.57542,0.21135,2827.5000
39500,2863.6936,0.57920,0.21508,2863.7500
40000,2899.9410,0.58298,0.21882,2900.0000
