case,fan_U,fan_cm_s,u_max,dC_H2O_mean,dC_CO2_mean
earth_1g,,,4.610e-2,0.1280,0.1610
ug_still,0,0,0,0.2310,0.3260
ug_fan,0.005,0.8,5.750e-3,0.1920,0.2510
ug_fan,0.01,1.7,1.120e-2,0.1530,0.1960
ug_fan,0.02,3.3,2.150e-2,0.1170,0.1510
ug_fan,0.03,5.0,3.090e-2,0.1000,0.1290
ug_fan,0.04,6.6,4.000e-2,0.0900,0.1150
ug_fan,0.05,8.3,5.000e-2,0.0820,0.1060
ug_fan,0.07,11.6,7.000e-2,0.0720,0.0920
ug_fan,0.1,16.6,1.000e-1,0.0630,0.0800
ug_fan,0.15,24.9,1.500e-1,0.0540,0.0690
# Earth-equivalent fan speed = 0.017 lattice = 2.8 cm/s
